,title_id,title,runtime,genre,certificate,imdb_rating,gross,year,votes,director_actor,metascore
2332,tt1675434,The Intouchables,['112'],"Biography, Comedy, Drama",R,8.5,['13.18'],(2011),656339,"Directors:
Olivier Nakache, 
Éric Toledano
| 
    Stars:
François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot",
2333,tt0110357,The Lion King,['88'],"Animation, Adventure, Drama",G,8.5,['312.90'],(1994),811899,"Directors:
Roger Allers, 
Rob Minkoff
| 
    Stars:
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg",83
2334,tt0108052,Schindler's List,['195'],"Biography, Drama, History",R,8.9,['96.07'],(1993),1060055,"Director:
Steven Spielberg
| 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall",93
2335,tt0407887,The Departed,['151'],"Crime, Drama, Thriller",R,8.5,['132.38'],(2006),1052215,"Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg",85
2336,tt0361748,Inglourious Basterds,['153'],"Adventure, Drama, War",R,8.3,['120.54'],(2009),1092378,"Directors:
Quentin Tarantino, 
Eli Roth
| 
    Stars:
Brad Pitt, 
Diane Kruger, 
Eli Roth, 
Mélanie Laurent",69
2337,tt2015381,Guardians of the Galaxy,['121'],"Action, Adventure, Comedy",PG-13,8.1,['333.18'],(2014),906063,"Director:
James Gunn
| 
    Stars:
Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana",76
2338,tt8267604,Capharnaüm,['126'],Drama,R,8.2,['0.41'],(2018),3675,"Director:
Nadine Labaki
| 
    Stars:
Zain Al Rafeea, 
Yordanos Shiferaw, 
Boluwatife Treasure Bankole, 
Kawsar Al Haddad",74
2339,tt0107290,Jurassic Park,['127'],"Adventure, Sci-Fi, Thriller",PG-13,8.1,['402.45'],(1993),765215,"Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough",68
2340,tt3315342,Logan,['137'],"Action, Drama, Sci-Fi",R,8.1,['226.28'],(2017),533831,"Director:
James Mangold
| 
    Stars:
Hugh Jackman, 
Patrick Stewart, 
Dafne Keen, 
Boyd Holbrook",77
2341,tt0167260,The Lord of the Rings: The Return of the King,['201'],"Adventure, Drama, Fantasy",PG-13,8.9,['377.85'],(2003),1458289,"Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom",94
2342,tt0102926,The Silence of the Lambs,['118'],"Crime, Drama, Thriller",R,8.6,['130.74'],(1991),1102644,"Director:
Jonathan Demme
| 
    Stars:
Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons",85
2343,tt0848228,The Avengers,['143'],"Action, Adventure, Sci-Fi",PG-13,8.1,['623.36'],(2012),1147228,"Director:
Joss Whedon
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner",69
2344,tt0457430,Pan's Labyrinth,['118'],"Drama, Fantasy, War",R,8.2,['37.63'],(2006),561738,"Director:
Guillermo del Toro
| 
    Stars:
Ivana Baquero, 
Ariadna Gil, 
Sergi López, 
Maribel Verdú",98
2345,tt1392190,Mad Max: Fury Road,['120'],"Action, Adventure, Sci-Fi",R,8.1,['154.06'],(2015),759184,"Director:
George Miller
| 
    Stars:
Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz",90
